CODE GEO;com_start;x_start;y_start;DCLT;com_end;x_end;y_end;Flux
33234;Latresne;-0.5;44.79;33063;Bordeaux;-0.573;44.858;462.950564219948
33235;Lavazan;-0.116;44.391;33063;Bordeaux;-0.573;44.858;15.1982378854626
33236;Lège-Cap-Ferret;-1.193;44.76;33063;Bordeaux;-0.573;44.858;246.00441615335
33237;Léogeats;-0.356;44.507;33063;Bordeaux;-0.573;44.858;50.7082755332586
33238;Léognan;-0.615;44.719;33063;Bordeaux;-0.573;44.858;740
33239;Lerm-et-Musset;-0.151;44.34;33063;Bordeaux;-0.573;44.858;14.9769770956513
33240;Lesparre-Médoc;-0.935;45.282;33063;Bordeaux;-0.573;44.858;75.2801278891785
33241;Lestiac-sur-Garonne;-0.378;44.692;33063;Bordeaux;-0.573;44.858;10.1630891485168
33243;Libourne;-0.235;44.913;33063;Bordeaux;-0.573;44.858;867.476589686416
33244;Lignan-de-Bazas;-0.277;44.432;33063;Bordeaux;-0.573;44.858;10.6270645799408
33245;Lignan-de-Bordeaux;-0.429;44.795;33063;Bordeaux;-0.573;44.858;100
33248;Listrac-Médoc;-0.829;45.069;33063;Bordeaux;-0.573;44.858;152.355381832035
33249;Lormont;-0.52;44.876;33063;Bordeaux;-0.573;44.858;2659.8025715961
33250;Loubens;-0.023;44.627;33063;Bordeaux;-0.573;44.858;5.395091935809
33251;Louchats;-0.571;44.513;33063;Bordeaux;-0.573;44.858;30.8829955846554
33252;Loupes;-0.391;44.81;33063;Bordeaux;-0.573;44.858;75
33253;Loupiac;-0.287;44.628;33063;Bordeaux;-0.573;44.858;30.0269270204703
33254;Loupiac-de-la-Réole;-0.044;44.541;33063;Bordeaux;-0.573;44.858;20
33256;Ludon-Médoc;-0.59;44.98;33063;Bordeaux;-0.573;44.858;686.090453579077
33257;Lugaignac;-0.194;44.813;33063;Bordeaux;-0.573;44.858;26.0442786491225
33258;Lugasson;-0.154;44.756;33063;Bordeaux;-0.573;44.858;30
33259;Lugon-et-l'àŽle-du-Carnay;-0.355;44.952;33063;Bordeaux;-0.573;44.858;70
33260;Lugos;-0.914;44.469;33063;Bordeaux;-0.573;44.858;42.1143122817746
33261;Lussac;-0.093;44.966;33063;Bordeaux;-0.573;44.858;28.8713381749926
33262;Macau;-0.614;45.003;33063;Bordeaux;-0.573;44.858;600
33263;Madirac;-0.397;44.757;33063;Bordeaux;-0.573;44.858;42.542662116041
33264;Maransin;-0.253;45.073;33063;Bordeaux;-0.573;44.858;27.4761192128473
33266;Marcenais;-0.344;45.059;33063;Bordeaux;-0.573;44.858;65
33268;Margaux-Cantenac;-0.675;45.033;33063;Bordeaux;-0.573;44.858;322.745409604462
33269;Margueron;0.256;44.766;33063;Bordeaux;-0.573;44.858;5.41621697565858
33270;Marimbault;-0.258;44.41;33063;Bordeaux;-0.573;44.858;9.83870967741935
33271;Marions;-0.089;44.374;33063;Bordeaux;-0.573;44.858;5.24038461538461
33272;Marsas;-0.376;45.062;33063;Bordeaux;-0.573;44.858;80.0432567566387
33273;Martignas-sur-Jalle;-0.796;44.845;33063;Bordeaux;-0.573;44.858;455.329408814671
33274;Martillac;-0.557;44.715;33063;Bordeaux;-0.573;44.858;356.790758017127
33277;Massugas;0.101;44.769;33063;Bordeaux;-0.573;44.858;9.86944061067986
33278;Mauriac;-0.024;44.747;33063;Bordeaux;-0.573;44.858;5.08620689655172
33279;Mazères;-0.25;44.504;33063;Bordeaux;-0.573;44.858;30.418960348504
33280;Mazion;-0.605;45.169;33063;Bordeaux;-0.573;44.858;5.12004925812104
33281;Mérignac;-0.682;44.832;33063;Bordeaux;-0.573;44.858;9973.44574846885
33283;Mesterrieux;-0.011;44.644;33063;Bordeaux;-0.573;44.858;5.25114155251142
33284;Mios;-0.896;44.618;33063;Bordeaux;-0.573;44.858;611.378284789852
33285;Mombrier;-0.546;45.078;33063;Bordeaux;-0.573;44.858;15.9917446896257
33287;Mongauzy;0.026;44.572;33063;Bordeaux;-0.573;44.858;10.0985285099796
33288;Monprimblanc;-0.255;44.631;33063;Bordeaux;-0.573;44.858;10.2135231316726
33289;Monségur;0.089;44.646;33063;Bordeaux;-0.573;44.858;10.1237659965908
33290;Montagne;-0.127;44.932;33063;Bordeaux;-0.573;44.858;20.0179773580146
33293;Montussan;-0.429;44.883;33063;Bordeaux;-0.573;44.858;435
33294;Morizès;-0.098;44.614;33063;Bordeaux;-0.573;44.858;5.0229219744913
33295;Mouillac;-0.349;45.006;33063;Bordeaux;-0.573;44.858;9.88505747126437
33296;Mouliets-et-Villemartin;-0.022;44.833;33063;Bordeaux;-0.573;44.858;20
33297;Moulis-en-Médoc;-0.786;45.053;33063;Bordeaux;-0.573;44.858;150
33298;Moulon;-0.221;44.858;33063;Bordeaux;-0.573;44.858;80
33299;Mourens;-0.211;44.645;33063;Bordeaux;-0.573;44.858;10.0216827541779
33300;Naujac-sur-Mer;-1.056;45.261;33063;Bordeaux;-0.573;44.858;15.0416666666667
33301;Naujan-et-Postiac;-0.184;44.788;33063;Bordeaux;-0.573;44.858;10.4907257567009
33302;Néac;-0.177;44.944;33063;Bordeaux;-0.573;44.858;30
33303;Nérigean;-0.285;44.843;33063;Bordeaux;-0.573;44.858;79.9049128367671
33305;Le Nizan;-0.281;44.47;33063;Bordeaux;-0.573;44.858;5.05964214711724
33306;Noaillac;-0.024;44.517;33063;Bordeaux;-0.573;44.858;15
33307;Noaillan;-0.36;44.48;33063;Bordeaux;-0.573;44.858;79.8854232584101
33308;Omet;-0.287;44.655;33063;Bordeaux;-0.573;44.858;10.2426092305596
33309;Ordonnac;-0.843;45.307;33063;Bordeaux;-0.573;44.858;10.0813008130081
33310;Origne;-0.51;44.504;33063;Bordeaux;-0.573;44.858;5.05494505494505
33311;Paillet;-0.361;44.685;33063;Bordeaux;-0.573;44.858;109.297589700023
33312;Parempuyre;-0.581;44.954;33063;Bordeaux;-0.573;44.858;1350.90770304784
33314;Pauillac;-0.767;45.198;33063;Bordeaux;-0.573;44.858;108.103184273553
33315;Les Peintures;-0.087;45.065;33063;Bordeaux;-0.573;44.858;35.7222199231696
33316;Pellegrue;0.095;44.738;33063;Bordeaux;-0.573;44.858;5.35991140642297
33317;Périssac;-0.316;45.024;33063;Bordeaux;-0.573;44.858;64.6893062140393
33318;Pessac;-0.676;44.792;33063;Bordeaux;-0.573;44.858;6346.47813929437
33319;Pessac-sur-Dordogne;0.094;44.818;33063;Bordeaux;-0.573;44.858;5.05072978406117
33320;Petit-Palais-et-Cornemps;-0.056;44.981;33063;Bordeaux;-0.573;44.858;5.0109454960709
33321;Peujard;-0.431;45.049;33063;Bordeaux;-0.573;44.858;225
33322;Le Pian-Médoc;-0.671;44.956;33063;Bordeaux;-0.573;44.858;751.671095273819
33323;Le Pian-sur-Garonne;-0.217;44.582;33063;Bordeaux;-0.573;44.858;43.563829787234
33324;Pineuilh;0.234;44.824;33063;Bordeaux;-0.573;44.858;19.9913903529556
33325;Plassac;-0.637;45.101;33063;Bordeaux;-0.573;44.858;20
33327;Podensac;-0.359;44.646;33063;Bordeaux;-0.573;44.858;145
33328;Pomerol;-0.205;44.932;33063;Bordeaux;-0.573;44.858;9.81179965705465
33329;Pompéjac;-0.299;44.4;33063;Bordeaux;-0.573;44.858;9.85239852398524
33330;Pompignac;-0.432;44.854;33063;Bordeaux;-0.573;44.858;382.592988006801
33331;Pondaurat;-0.08;44.532;33063;Bordeaux;-0.573;44.858;10.0755175507893
33332;Porchères;0.001;45.037;33063;Bordeaux;-0.573;44.858;9.99648762687701
33333;Le Porge;-1.141;44.867;33063;Bordeaux;-0.573;44.858;134.268638092621
33334;Portets;-0.426;44.681;33063;Bordeaux;-0.573;44.858;210.286877146747
33335;Le Pout;-0.358;44.805;33063;Bordeaux;-0.573;44.858;67.1312313561421
33336;Préchac;-0.367;44.387;33063;Bordeaux;-0.573;44.858;5.04047448855736
33337;Preignac;-0.309;44.57;33063;Bordeaux;-0.573;44.858;80.514880892986
33339;Prignac-et-Marcamps;-0.496;45.025;33063;Bordeaux;-0.573;44.858;93.0401473485639
33341;Pugnac;-0.499;45.083;33063;Bordeaux;-0.573;44.858;137.425128686976
33342;Puisseguin;-0.063;44.932;33063;Bordeaux;-0.573;44.858;40
33343;Pujols-sur-Ciron;-0.353;44.571;33063;Bordeaux;-0.573;44.858;76.7630057803468
33344;Pujols;-0.033;44.807;33063;Bordeaux;-0.573;44.858;14.8584114629792
33346;Puybarban;-0.069;44.548;33063;Bordeaux;-0.573;44.858;20.3495245948873
33348;Queyrac;-1.001;45.361;33063;Bordeaux;-0.573;44.858;25.1286764705882
33349;Quinsac;-0.49;44.752;33063;Bordeaux;-0.573;44.858;339.578503007383
33350;Rauzan;-0.131;44.783;33063;Bordeaux;-0.573;44.858;25.0497478568239
33351;Reignac;-0.516;45.229;33063;Bordeaux;-0.573;44.858;29.7954122752635
33352;La Réole;-0.042;44.586;33063;Bordeaux;-0.573;44.858;69.939669567286
33355;Rions;-0.336;44.668;33063;Bordeaux;-0.573;44.858;101.068629023095
33356;La Rivière;-0.316;44.938;33063;Bordeaux;-0.573;44.858;20.7766955921125
33357;Roaillan;-0.285;44.506;33063;Bordeaux;-0.573;44.858;56.6204395658687
33358;Romagne;-0.204;44.765;33063;Bordeaux;-0.573;44.858;34.7027600849257
33361;Ruch;-0.034;44.774;33063;Bordeaux;-0.573;44.858;14.862213865652
33362;Sablons;-0.182;45.024;33063;Bordeaux;-0.573;44.858;40
33363;Sadirac;-0.39;44.783;33063;Bordeaux;-0.573;44.858;534.900562040641
33364;Saillans;-0.271;44.957;33063;Bordeaux;-0.573;44.858;15.3590425531915
33366;Saint-André-de-Cubzac;-0.436;44.995;33063;Bordeaux;-0.573;44.858;1170.82544031906
33367;Saint-André-du-Bois;-0.187;44.608;33063;Bordeaux;-0.573;44.858;15.0348027842227
33370;Saint-Androny;-0.671;45.197;33063;Bordeaux;-0.573;44.858;14.3002622247708
33373;Saint-Antoine-sur-l'Isle;0.046;45.047;33063;Bordeaux;-0.573;44.858;10.0172117039586
